Region,Gender,SubscriptionType,InternetUsageType,CustomerSupportCalls,ContractType,MonthlyCharges,TotalCharges,CallMinutesPerMonth,InternetGBPerMonth,NumberOfSMSPerMonth,TenureMonths,Age
North,Other,Postpaid,Heavy,High,Yearly,49.67,740.81,471.53,31.31,84.0,52,25
South,Male,Prepaid,Heavy,High,Monthly,34.92,1353.23,571.83,22.83,71.0,30,18
West,Other,Postpaid,Heavy,Low,Monthly,62.97,1427.92,388.66,10.04,114.0,6,45
West,Other,Postpaid,Light,Medium,Yearly,41.74,1070.45,456.38,42.46,120.0,17,42
West,Other,Postpaid,Heavy,High,Yearly,64.62,1419.61,423.85,32.97,41.0,25,44
West,Male,Postpaid,Moderate,Low,Quarterly,45.44,1232.38,468.83,19.04,119.0,16,19
South,Male,Prepaid,Moderate,Low,Yearly,33.23,1011.27,623.27,24.51,82.0,46,44
East,Other,Prepaid,Moderate,Medium,Quarterly,55.55,1014.35,542.59,9.91,87.0,62,40
Central,Female,Prepaid,Moderate,High,Yearly,26.14,1131.03,432.83,34.19,77.0,12,35
Central,Female,Postpaid,Heavy,High,Quarterly,37.97,1350.53,527.88,31.2,87.0,23,59
Central,Female,Prepaid,Heavy,Low,Monthly,56.55,893.62,520.14,10.68,121.0,32,44
Central,Other,Postpaid,Moderate,Medium,Yearly,45.33,1159.84,466.11,15.95,138.0,40,46
South,Other,Postpaid,Moderate,Medium,Yearly,42.43,1981.56,547.04,26.3,129.0,47,64
East,Female,Postpaid,Light,High,Monthly,75.12,682.36,622.59,28.04,75.0,25,40
South,Female,Prepaid,Moderate,Low,Monthly,32.07,908.87,450.33,21.81,108.0,39,40
East,Female,Postpaid,Moderate,High,Yearly,21.45,1484.74,613.78,33.8,72.0,47,54
South,Male,Postpaid,Moderate,High,Monthly,32.58,1321.45,498.66,31.82,114.0,27,31
North,Male,Prepaid,Heavy,Medium,Monthly,50.01,1595.74,393.81,40.73,110.0,39,38
East,Female,Postpaid,Moderate,Low,Monthly,50.42,783.21,492.9,31.04,122.0,21,47
Central,Male,Prepaid,Light,Medium,Quarterly,32.74,615.32,560.06,24.57,66.0,10,65
East,Male,Postpaid,Heavy,Medium,Monthly,61.34,324.25,421.42,35.13,119.0,25,35
North-East,Other,Prepaid,Heavy,High,Quarterly,43.22,897.67,732.88,32.69,81.0,43,41
West,Male,Prepaid,Moderate,Medium,Monthly,12.81,1454.8,538.39,45.21,100.0,38,21
East,Other,Postpaid,Light,High,Yearly,30.71,785.78,511.68,27.61,77.0,33,39
North-East,Other,Prepaid,Light,Medium,Monthly,31.79,781.0,515.78,38.01,101.0,3,66
West,Female,Prepaid,Heavy,Low,Monthly,80.43,1604.01,517.86,31.18,124.0,47,53
North-East,Male,Postpaid,Light,Medium,Monthly,67.86,731.05,470.86,29.95,145.0,32,32
West,Female,Prepaid,Light,High,Yearly,31.28,775.21,524.81,18.13,58.0,12,21
North,Other,Prepaid,Heavy,High,Monthly,37.72,975.85,559.0,22.92,61.0,56,31
East,Male,Prepaid,Light,Medium,Yearly,10.44,1014.5,410.22,37.38,111.0,48,65
North-East,Female,Postpaid,Heavy,Low,Yearly,73.53,1159.37,493.27,27.74,77.0,27,60
North,Female,Prepaid,Heavy,Medium,Quarterly,59.33,1022.91,376.03,29.93,84.0,8,60
Central,Female,Postpaid,Moderate,Medium,Quarterly,44.7,1014.42,318.26,46.56,116.0,46,77
East,Other,Prepaid,Moderate,Medium,Quarterly,41.89,1207.7,278.49,7.85,61.0,33,79
South,Female,Prepaid,Moderate,Low,Quarterly,42.24,1192.04,551.81,44.78,127.0,12,20
South,Female,Postpaid,Moderate,Low,Yearly,50.83,1073.41,570.5,26.81,90.0,28,33
South,Male,Prepaid,Light,Medium,Yearly,47.36,484.27,469.25,43.43,81.0,43,53
North-East,Other,Prepaid,Heavy,High,Monthly,67.09,1274.7,566.25,40.12,110.0,40,72
North-East,Other,Prepaid,Light,High,Monthly,16.77,1014.81,493.1,40.17,123.0,9,43
West,Male,Prepaid,Heavy,Low,Monthly,60.6,1083.87,385.26,36.58,79.0,58,72
South,Female,Prepaid,Light,Low,Yearly,33.09,1596.18,416.84,43.84,116.0,48,20
Central,Female,Postpaid,Light,Low,Monthly,57.42,1360.96,678.93,41.6,82.0,2,39
North-East,Male,Prepaid,Heavy,High,Quarterly,38.38,1016.71,583.98,45.09,48.0,39,35
East,Male,Prepaid,Light,High,Yearly,51.16,848.29,490.71,21.87,154.0,62,45
North-East,Other,Prepaid,Moderate,Low,Yearly,41.15,1339.0,514.6,28.72,106.0,52,59
East,Male,Postpaid,Light,Low,Yearly,40.67,1135.93,541.16,51.7,113.0,27,57
North-East,Female,Prepaid,Moderate,Medium,Quarterly,68.71,1118.2,663.27,23.03,88.0,14,48
West,Female,Postpaid,Moderate,Medium,Yearly,73.82,886.09,556.53,27.73,37.0,23,22
West,Female,Postpaid,Light,High,Quarterly,11.36,1287.01,414.9,22.12,121.0,17,58
West,Other,Prepaid,Light,High,Quarterly,42.48,1129.81,531.83,26.79,34.0,14,33
Central,Female,Postpaid,Light,Medium,Quarterly,66.96,1742.98,511.29,29.71,149.0,60,29
North-East,Male,Prepaid,Light,Medium,Quarterly,70.9,763.24,590.79,26.51,107.0,43,65
East,Other,Postpaid,Heavy,Medium,Monthly,38.63,1005.47,711.52,28.24,123.0,20,44
North-East,Other,Postpaid,Heavy,Low,Monthly,13.65,433.12,450.81,42.96,123.0,48,18
North,Other,Postpaid,Light,Low,Quarterly,56.65,626.84,614.52,33.5,85.0,67,72
West,Female,Postpaid,Heavy,Low,Yearly,48.03,885.44,452.16,28.35,90.0,54,54
South,Male,Postpaid,Heavy,Low,Monthly,49.1,400.22,696.65,16.72,102.0,19,52
North,Other,Prepaid,Heavy,High,Yearly,31.36,662.72,356.84,23.9,106.0,65,60
North,Other,Postpaid,Heavy,Medium,Quarterly,68.26,778.8,639.13,24.36,110.0,67,64
West,Other,Prepaid,Moderate,Medium,Monthly,60.29,458.89,543.81,50.91,128.0,3,73
South,Male,Prepaid,Light,Medium,Monthly,62.52,860.74,636.59,24.1,91.0,67,46
West,Male,Postpaid,Heavy,Medium,Quarterly,59.11,900.16,398.77,20.89,103.0,2,78
West,Female,Prepaid,Moderate,Medium,Monthly,52.1,1076.65,582.25,47.89,48.0,65,33
South,Male,Postpaid,Moderate,High,Quarterly,60.48,869.8,408.71,36.55,67.0,19,41
North,Female,Prepaid,Heavy,High,Quarterly,58.67,1208.18,422.47,37.16,108.0,68,52
North,Male,Prepaid,Light,Medium,Yearly,45.23,1350.52,504.14,29.99,69.0,3,23
North-East,Female,Postpaid,Moderate,Medium,Yearly,72.42,1021.14,526.27,44.1,128.0,53,45
South,Female,Prepaid,Light,Low,Monthly,55.96,1110.95,334.04,36.51,82.0,19,76
North,Female,Prepaid,Heavy,High,Quarterly,36.2,631.7,404.52,22.88,152.0,13,23
Central,Other,Postpaid,Moderate,Low,Quarterly,64.35,441.34,539.1,15.57,142.0,6,24
West,Female,Prepaid,Moderate,Low,Monthly,50.58,992.85,592.67,29.35,96.0,12,54
Central,Other,Postpaid,Light,Low,Quarterly,37.79,760.58,522.86,28.78,102.0,37,42
Central,Male,Postpaid,Light,Medium,Yearly,31.21,581.15,592.55,21.94,53.0,1,65
North-East,Other,Prepaid,Light,High,Monthly,24.9,634.82,571.57,26.91,77.0,47,21
North-East,Female,Prepaid,Heavy,High,Yearly,40.39,889.19,508.71,39.82,87.0,43,39
North-East,Other,Prepaid,Light,High,Yearly,25.0,767.9,496.03,26.25,71.0,21,73
Central,Female,Prepaid,Moderate,High,Monthly,52.42,1309.25,679.1,37.8,85.0,13,79
East,Other,Postpaid,Light,High,Quarterly,21.88,583.48,334.22,28.07,112.0,49,60
East,Male,Prepaid,Light,High,Quarterly,45.79,967.08,638.06,22.49,75.0,67,32
Central,Other,Prepaid,Moderate,Low,Monthly,57.77,1502.01,523.23,43.05,77.0,3,25
West,Female,Postpaid,Light,Medium,Yearly,35.94,977.35,542.01,11.56,72.0,23,36
Central,Other,Prepaid,Heavy,High,Quarterly,60.37,1275.11,450.18,30.94,90.0,30,18
Central,Female,Prepaid,Moderate,High,Quarterly,51.61,936.02,425.76,7.5,108.0,60,70
North-East,Female,Postpaid,Moderate,Medium,Monthly,40.19,939.62,562.78,25.85,114.0,50,69
North-East,Male,Prepaid,Light,Medium,Yearly,86.93,751.52,754.05,16.24,113.0,37,26
North-East,Female,Postpaid,Light,High,Quarterly,40.01,1571.82,589.95,35.57,124.0,30,79
East,Female,Prepaid,Heavy,Low,Yearly,55.02,1134.08,361.34,46.53,116.0,68,32
Central,Male,Postpaid,Moderate,High,Monthly,39.86,1280.43,657.97,25.31,92.0,42,47
West,Female,Postpaid,Moderate,High,Yearly,37.9,789.1,486.18,-0.62,73.0,52,27
West,Other,Prepaid,Moderate,High,Monthly,58.79,1128.08,473.35,15.9,127.0,35,33
North-East,Male,Postpaid,Moderate,Medium,Quarterly,41.11,1074.85,602.92,28.3,123.0,47,47
North-East,Male,Postpaid,Light,Low,Quarterly,62.42,763.98,657.55,28.44,127.0,61,22
Central,Female,Postpaid,Heavy,Low,Quarterly,41.02,932.74,355.74,19.07,110.0,16,62
West,Female,Postpaid,Light,High,Yearly,70.57,1126.93,513.78,27.62,85.0,64,32
Central,Male,Prepaid,Light,Low,Yearly,50.79,966.31,768.23,33.8,100.0,40,33
East,Other,Postpaid,Light,Medium,Yearly,53.82,979.68,518.47,43.06,176.0,47,18
Central,Female,Prepaid,Moderate,High,Monthly,33.1,493.81,382.48,34.42,85.0,16,26
North-East,Other,Prepaid,Heavy,Low,Quarterly,23.12,496.03,464.97,30.91,72.0,40,33
North,Female,Prepaid,Heavy,Medium,Quarterly,40.99,587.54,593.75,26.64,75.0,70,21
East,Female,Postpaid,Heavy,Medium,Monthly,51.32,1241.79,516.84,22.62,122.0,62,77
West,Male,Prepaid,Moderate,High,Yearly,77.0,1189.49,468.54,17.43,43.0,24,70
West,Male,Postpaid,Light,Medium,Quarterly,44.74,868.61,458.81,32.76,104.0,55,54
North-East,Other,Postpaid,Moderate,Medium,Quarterly,25.43,985.55,566.42,36.47,106.0,70,73
North-East,Male,Prepaid,Light,Medium,Quarterly,41.15,1320.97,449.06,31.52,161.0,33,64
East,Other,Prepaid,Heavy,Low,Yearly,50.51,673.59,584.77,28.82,88.0,50,49
North-East,Other,Postpaid,Heavy,Medium,Quarterly,39.74,804.44,371.46,18.45,113.0,2,19
North,Male,Prepaid,Light,Low,Monthly,55.73,496.64,444.01,23.9,105.0,6,44
East,Other,Prepaid,Moderate,Low,Yearly,57.57,430.27,383.73,22.41,145.0,34,63
North-East,Male,Postpaid,Light,High,Monthly,62.44,1429.61,601.72,26.5,96.0,4,39
South,Other,Postpaid,Light,Low,Yearly,29.97,978.19,556.02,24.0,71.0,51,60
North,Other,Prepaid,Moderate,Medium,Quarterly,60.66,1071.84,512.03,21.9,80.0,10,34
East,Female,Postpaid,Light,Medium,Monthly,67.24,718.2,590.61,35.62,139.0,35,38
South,Male,Prepaid,Heavy,Medium,Quarterly,45.91,1010.6,563.32,57.76,63.0,68,70
Central,Male,Postpaid,Moderate,Low,Monthly,56.41,1156.81,472.99,37.92,101.0,11,61
North,Male,Prepaid,Heavy,High,Yearly,61.81,891.15,527.83,45.71,80.0,64,52
Central,Male,Prepaid,Light,Low,Monthly,27.71,860.13,581.77,31.31,137.0,19,68
South,Female,Postpaid,Light,Medium,Monthly,58.47,1003.78,502.69,43.74,128.0,3,74
West,Female,Postpaid,Light,Low,Quarterly,51.24,1534.98,463.36,43.92,95.0,37,44
West,Female,Prepaid,Light,Medium,Quarterly,62.69,872.53,520.71,53.36,67.0,25,61
North-East,Female,Prepaid,Light,Low,Quarterly,41.02,1022.01,656.58,29.07,50.0,5,74
West,Male,Prepaid,Light,Low,Monthly,95.77,1078.68,461.71,28.52,137.0,56,49
Central,Other,Postpaid,Heavy,Low,Quarterly,49.24,1024.19,522.68,32.5,111.0,15,60
North,Male,Postpaid,Heavy,High,Monthly,46.93,320.96,487.63,36.27,121.0,27,70
Central,Male,Prepaid,Heavy,Low,Monthly,58.36,1292.86,475.91,44.52,81.0,60,46
Central,Female,Prepaid,Light,High,Monthly,29.95,784.89,527.78,24.71,72.0,64,73
West,Female,Prepaid,Light,High,Monthly,76.7,1394.49,486.71,20.47,130.0,20,62
Central,Male,Prepaid,Light,Medium,Yearly,62.62,730.4,684.75,38.46,185.0,44,46
South,Male,Prepaid,Light,High,Yearly,37.73,947.53,305.99,30.41,99.0,11,68
East,Other,Prepaid,Light,High,Monthly,33.7,1284.24,584.3,36.79,79.0,11,71
East,Female,Postpaid,Heavy,Low,Quarterly,47.94,1216.22,625.82,48.81,74.0,26,53
East,Other,Prepaid,Light,Low,Yearly,87.95,1513.13,585.76,48.33,114.0,36,50
North-East,Male,Postpaid,Light,Low,Quarterly,24.51,1452.34,529.15,40.15,96.0,68,24
West,Female,Postpaid,Light,Low,Monthly,53.48,1262.9,529.53,27.65,159.0,27,79
West,Male,Prepaid,Heavy,Low,Yearly,49.52,1330.49,455.9,25.21,55.0,63,21
East,Female,Prepaid,Light,Low,Yearly,79.48,232.37,373.76,22.94,13.0,54,70
North,Other,Postpaid,Light,High,Quarterly,59.59,1230.49,483.12,31.52,87.0,2,54
North-East,Other,Prepaid,Moderate,Low,Monthly,66.93,1194.16,590.52,27.0,87.0,9,37
East,Female,Prepaid,Light,Low,Monthly,52.27,1198.9,565.85,9.61,119.0,46,33
Central,Other,Postpaid,Light,High,Monthly,52.12,1031.16,424.18,34.57,70.0,57,64
East,Other,Postpaid,Moderate,High,Quarterly,29.05,518.97,461.02,41.58,50.0,14,61
East,Male,Prepaid,Heavy,High,Quarterly,58.4,1626.54,518.84,31.76,157.0,62,38
North,Female,Prepaid,Light,High,Yearly,61.2,908.54,512.87,39.46,62.0,28,30
West,Male,Prepaid,Moderate,High,Quarterly,41.3,1412.84,529.99,19.64,124.0,35,38
West,Other,Prepaid,Light,High,Quarterly,29.39,1313.23,387.89,22.07,78.0,27,36
Central,Male,Prepaid,Moderate,High,Monthly,72.98,732.78,499.5,17.83,107.0,2,32
East,Other,Postpaid,Moderate,Low,Monthly,32.04,599.5,309.27,41.94,134.0,32,72
South,Other,Postpaid,Heavy,Low,Yearly,39.48,801.56,557.1,30.93,95.0,20,41
Central,Male,Prepaid,Heavy,Low,Yearly,24.69,989.61,609.6,24.54,114.0,63,69
West,Male,Prepaid,Heavy,Medium,Quarterly,28.74,979.94,747.68,17.64,98.0,33,42
North,Female,Prepaid,Moderate,Low,Monthly,50.34,845.02,590.96,16.18,77.0,55,54
West,Female,Prepaid,Moderate,High,Yearly,53.73,1494.34,514.89,18.2,37.0,53,59
West,Male,Postpaid,Light,High,Yearly,63.27,1482.25,479.64,32.96,127.0,29,53
North,Other,Postpaid,Heavy,Low,Monthly,37.73,1208.85,387.89,34.6,97.0,20,60
East,Other,Postpaid,Heavy,High,Quarterly,53.94,1435.17,677.9,28.13,65.0,16,74
East,Female,Postpaid,Light,High,Yearly,63.47,933.32,267.39,29.65,113.0,61,35
West,Male,Prepaid,Light,High,Monthly,51.69,1305.44,553.1,32.45,93.0,69,18
Central,Female,Postpaid,Moderate,High,Yearly,58.62,1695.29,493.9,24.24,70.0,54,69
South,Female,Prepaid,Heavy,High,Yearly,46.47,1096.62,357.97,56.01,64.0,45,66
Central,Male,Prepaid,Light,Low,Monthly,34.06,1090.73,550.38,29.73,118.0,70,44
North-East,Other,Prepaid,Heavy,Low,Quarterly,54.23,1094.91,546.9,17.44,68.0,67,75
Central,Female,Prepaid,Light,Low,Yearly,40.56,1036.04,480.35,39.55,145.0,38,59
West,Male,Prepaid,Heavy,Medium,Yearly,42.28,1312.97,483.06,37.01,119.0,61,65
West,Male,Postpaid,Moderate,High,Quarterly,72.74,891.76,744.7,30.01,89.0,32,28
South,Male,Prepaid,Light,Medium,Quarterly,39.06,733.84,454.29,25.89,124.0,14,61
South,Other,Postpaid,Moderate,High,Yearly,40.95,933.1,676.27,21.15,84.0,12,36
South,Male,Postpaid,Light,High,Quarterly,22.3,994.54,642.13,43.03,59.0,51,43
West,Female,Prepaid,Light,Low,Yearly,35.83,978.07,524.37,36.41,68.0,33,69
West,Female,Postpaid,Heavy,Low,Yearly,49.03,1198.96,537.2,25.2,63.0,58,22
Central,Male,Prepaid,Heavy,Medium,Quarterly,58.3,1240.36,461.5,30.12,80.0,60,23
West,Other,Prepaid,Light,Low,Quarterly,72.19,1041.81,490.86,34.44,83.0,9,79
North-East,Other,Postpaid,Light,High,Monthly,56.19,864.1,451.92,23.27,178.0,4,28
East,Male,Postpaid,Moderate,Low,Monthly,48.86,948.9,396.44,33.38,120.0,69,19
East,Other,Prepaid,Moderate,High,Yearly,74.64,1425.65,463.96,37.85,133.0,5,65
South,Male,Prepaid,Light,High,Monthly,37.69,1363.32,593.39,21.91,91.0,25,44
West,Other,Postpaid,Moderate,Low,Quarterly,49.22,1179.48,491.48,29.9,77.0,33,65
North-East,Other,Postpaid,Heavy,Low,Yearly,69.41,958.07,385.49,35.65,68.0,21,59
East,Male,Postpaid,Moderate,Medium,Monthly,64.93,1362.49,556.35,34.83,55.0,22,49
Central,Female,Prepaid,Heavy,High,Yearly,24.91,1052.14,522.39,15.82,79.0,35,42
North,Female,Postpaid,Moderate,High,Monthly,44.58,663.05,346.45,27.55,148.0,26,47
Central,Female,Postpaid,Light,Low,Yearly,43.09,1131.57,578.58,43.07,49.0,20,40
North,Female,Postpaid,Heavy,Medium,Monthly,30.26,939.11,445.86,14.43,108.0,36,75
North-East,Female,Postpaid,Moderate,High,Yearly,56.39,1126.76,635.83,18.11,142.0,61,34
Central,Female,Prepaid,Light,High,Monthly,62.25,1307.94,341.72,24.7,89.0,18,23
East,Male,Postpaid,Light,High,Yearly,38.99,1457.34,408.46,19.53,106.0,24,65
West,Other,Prepaid,Moderate,Medium,Monthly,34.87,647.44,482.63,41.97,115.0,8,36
North,Female,Postpaid,Heavy,Low,Yearly,41.69,1342.91,596.03,30.0,110.0,69,44
West,Female,Prepaid,Moderate,Medium,Quarterly,40.37,276.77,438.23,38.98,78.0,66,59
North-East,Other,Prepaid,Moderate,High,Yearly,51.33,976.93,118.45,5.46,90.0,48,52
West,Male,Postpaid,Light,Medium,Quarterly,39.07,1439.7,571.0,24.63,100.0,33,18
East,Male,Prepaid,Heavy,Medium,Yearly,12.08,855.78,361.75,33.82,105.0,55,31
North-East,Male,Postpaid,Heavy,Medium,Monthly,60.04,813.14,415.74,46.55,112.0,29,68
South,Other,Postpaid,Light,Medium,Yearly,39.4,1132.11,290.71,12.62,71.0,65,36
South,Male,Prepaid,Moderate,High,Quarterly,17.65,1186.74,409.42,33.66,110.0,41,77
North,Female,Prepaid,Heavy,Medium,Quarterly,31.56,1240.87,592.68,22.12,92.0,2,34
East,Female,Prepaid,Moderate,Low,Yearly,36.94,910.49,448.83,36.22,63.0,32,60
West,Male,Postpaid,Light,Medium,Monthly,42.1,1210.82,448.56,35.38,114.0,35,34
Central,Other,Prepaid,Heavy,Low,Monthly,43.15,413.66,509.49,37.41,86.0,47,19
Central,Male,Postpaid,Moderate,Low,Quarterly,73.41,1584.22,588.08,35.93,34.0,65,20
North-East,Other,Prepaid,Heavy,Low,Yearly,48.96,986.2,410.38,57.71,83.0,31,23
North,Female,Postpaid,Heavy,High,Quarterly,40.99,1297.8,536.81,25.55,36.0,18,60
North,Female,Postpaid,Moderate,Medium,Yearly,18.76,853.0,542.81,13.79,75.0,69,61
North,Male,Prepaid,Heavy,Low,Monthly,58.96,997.4,418.1,30.38,50.0,52,60
East,Other,Prepaid,Heavy,High,Yearly,28.37,1359.17,601.96,25.41,98.0,41,72
Central,Female,Prepaid,Moderate,Medium,Monthly,56.81,1167.97,450.43,14.07,72.0,34,52
North-East,Other,Prepaid,Moderate,Low,Monthly,38.78,1309.51,551.64,29.66,74.0,20,34
East,Female,Postpaid,Light,High,Monthly,31.68,858.43,637.65,32.26,170.0,49,69
North-East,Male,Prepaid,Heavy,Medium,Quarterly,44.0,1252.25,502.82,32.05,123.0,23,71
East,Male,Prepaid,Light,Low,Quarterly,56.81,1447.93,516.5,37.78,114.0,71,71
West,Female,Postpaid,Light,Medium,Quarterly,40.17,820.6,482.41,34.51,85.0,62,54
East,Female,Prepaid,Light,Medium,Yearly,57.3,710.9,609.02,18.11,91.0,10,49
East,Other,Postpaid,Heavy,Medium,Yearly,52.05,868.07,603.49,16.6,70.0,32,68
West,Female,Prepaid,Moderate,High,Monthly,62.57,1270.06,431.3,20.76,60.0,14,48
South,Male,Postpaid,Light,Medium,Yearly,52.11,817.64,617.32,33.71,113.0,14,38
West,Female,Prepaid,Heavy,Low,Quarterly,45.34,939.88,576.78,41.63,57.0,52,37
North,Male,Postpaid,Heavy,Medium,Quarterly,56.86,778.48,616.89,13.58,82.0,6,36
South,Other,Postpaid,Moderate,Low,Monthly,41.36,549.94,282.03,39.13,92.0,32,24
Central,Female,Prepaid,Moderate,Medium,Quarterly,48.25,1523.65,536.15,35.33,72.0,60,27
North-East,Male,Postpaid,Moderate,High,Monthly,25.87,1231.2,553.92,21.65,126.0,12,48
East,Male,Prepaid,Moderate,Medium,Quarterly,75.72,1160.62,408.25,37.43,60.0,34,75
South,Male,Prepaid,Heavy,Medium,Monthly,58.65,784.8,504.82,9.65,116.0,44,51
Central,Other,Postpaid,Light,High,Monthly,30.07,901.88,534.16,37.25,95.0,69,51
West,Male,Prepaid,Heavy,Low,Monthly,62.46,790.79,558.13,34.23,106.0,65,33
West,Other,Prepaid,Heavy,Low,Yearly,55.54,726.29,479.79,31.75,93.0,58,45
North,Other,Prepaid,Heavy,High,Yearly,39.93,1442.33,485.48,41.57,137.0,39,73
North,Female,Postpaid,Heavy,High,Quarterly,54.21,1070.69,467.24,20.3,104.0,56,48
South,Other,Postpaid,Heavy,Medium,Yearly,40.4,676.33,557.38,23.74,75.0,50,65
North-East,Female,Postpaid,Heavy,Low,Quarterly,41.56,1318.72,595.75,34.13,106.0,44,19
East,Female,Prepaid,Light,Medium,Quarterly,69.04,976.9,444.56,30.46,120.0,52,68
West,Female,Postpaid,Heavy,Medium,Quarterly,63.9,249.1,384.22,38.97,82.0,39,49
South,Male,Prepaid,Moderate,Medium,Monthly,37.81,358.51,539.35,16.7,64.0,69,71
South,Female,Prepaid,Moderate,High,Quarterly,44.12,1238.64,699.97,29.53,120.0,54,64
North-East,Male,Postpaid,Moderate,Medium,Quarterly,45.6,1322.05,494.0,39.67,91.0,35,34
South,Female,Prepaid,Heavy,High,Monthly,57.75,1220.87,407.09,34.15,93.0,60,62
North,Female,Postpaid,Light,Low,Yearly,32.77,674.54,596.84,26.52,108.0,19,53
North-East,Male,Postpaid,Moderate,High,Quarterly,74.54,1271.15,654.88,43.27,88.0,21,24
West,Female,Postpaid,Light,High,Monthly,60.65,637.33,391.63,48.73,111.0,41,31
North,Female,Postpaid,Heavy,High,Quarterly,25.6,893.06,563.89,32.63,92.0,32,70
North,Male,Prepaid,Moderate,Low,Yearly,68.83,1206.13,357.83,18.25,90.0,8,71
North-East,Male,Postpaid,Moderate,High,Monthly,69.93,1781.44,472.15,16.49,88.0,51,48
North-East,Male,Prepaid,Moderate,High,Yearly,37.45,1298.62,403.01,31.03,89.0,2,58
South,Female,Prepaid,Moderate,Low,Monthly,63.82,802.94,275.55,15.91,94.0,65,74
Central,Other,Postpaid,Light,Medium,Quarterly,41.94,806.12,500.9,44.8,102.0,15,48
Central,Male,Prepaid,Light,Low,Monthly,65.08,1202.6,493.98,27.65,132.0,27,67
Central,Female,Prepaid,Moderate,Medium,Yearly,40.84,927.93,628.13,22.7,90.0,63,48
South,Other,Prepaid,Moderate,Medium,Monthly,29.98,1440.21,536.76,33.12,124.0,46,60
East,Other,Prepaid,Moderate,Low,Yearly,42.71,763.01,609.49,20.33,102.0,47,41
West,Female,Prepaid,Heavy,High,Yearly,44.04,858.15,498.76,21.23,122.0,49,29
South,Other,Postpaid,Moderate,High,Monthly,59.38,1155.39,491.71,33.68,116.0,51,58
South,Male,Postpaid,Moderate,High,Monthly,58.12,1040.9,577.67,23.72,104.0,48,31
North,Female,Prepaid,Moderate,Low,Quarterly,46.23,941.88,422.86,27.47,122.0,67,25
Central,Female,Postpaid,Light,High,Monthly,39.7,1206.43,479.22,28.56,90.0,48,40
North-East,Male,Prepaid,Light,High,Monthly,45.12,901.95,390.54,32.57,62.0,71,34
South,Other,Postpaid,Heavy,Low,Quarterly,49.73,1605.91,329.87,34.64,93.0,6,52
East,Female,Postpaid,Light,Medium,Yearly,73.54,997.77,448.33,31.91,35.0,71,44
West,Female,Prepaid,Light,Low,Quarterly,46.82,811.84,305.07,36.65,133.0,67,32
East,Male,Prepaid,Moderate,High,Monthly,54.94,1120.59,454.79,25.49,189.0,30,67
South,Female,Prepaid,Moderate,Low,Monthly,36.11,1025.57,552.05,31.4,143.0,48,64
South,Female,Postpaid,Moderate,Low,Quarterly,55.99,910.23,569.81,20.89,105.0,30,46
North,Female,Postpaid,Light,Low,Quarterly,42.34,1077.83,387.61,37.3,47.0,13,60
East,Male,Postpaid,Heavy,Medium,Monthly,37.95,716.44,462.95,46.38,106.0,14,51
North,Female,Prepaid,Light,Low,Yearly,62.95,867.18,465.8,20.22,116.0,23,71
North-East,Male,Postpaid,Heavy,Low,Quarterly,47.63,1489.19,345.73,39.32,126.0,14,65
East,Female,Postpaid,Moderate,Low,Monthly,35.72,982.75,443.83,26.7,140.0,37,18
Central,Other,Postpaid,Moderate,Medium,Quarterly,37.02,663.76,549.07,29.78,72.0,57,51
North-East,Other,Postpaid,Light,Low,Monthly,20.66,1391.97,735.96,35.63,131.0,45,30
Central,Female,Prepaid,Heavy,Medium,Quarterly,46.06,1100.37,611.2,33.6,52.0,45,39
East,Female,Postpaid,Moderate,Medium,Monthly,44.96,1396.79,486.69,33.38,41.0,29,27
North,Male,Postpaid,Moderate,High,Monthly,35.12,1565.46,530.5,29.22,122.0,7,47
Central,Other,Prepaid,Heavy,High,Yearly,43.33,698.22,544.24,25.32,50.0,14,62
South,Other,Postpaid,Light,Low,Quarterly,35.33,1131.92,542.49,32.44,76.0,21,56
West,Female,Prepaid,Heavy,Low,Yearly,69.94,912.22,480.1,39.33,86.0,67,20
North,Female,Postpaid,Moderate,Low,Quarterly,42.64,899.38,578.09,19.76,108.0,15,36
North-East,Male,Prepaid,Moderate,Medium,Quarterly,25.63,1185.77,555.63,18.54,100.0,44,47
North-East,Male,Prepaid,Heavy,Low,Quarterly,42.42,936.69,428.52,7.91,44.0,70,49
East,Male,Postpaid,Moderate,Low,Yearly,42.19,1237.46,494.03,25.31,101.0,68,34
North-East,Female,Postpaid,Light,Medium,Yearly,52.09,461.21,581.7,23.34,122.0,49,34
West,Female,Postpaid,Heavy,High,Quarterly,76.86,1142.24,404.78,27.84,89.0,20,65
West,Male,Prepaid,Light,Medium,Monthly,36.85,754.08,638.23,0.36,66.0,25,37
South,Other,Prepaid,Moderate,High,Yearly,62.01,1348.07,351.19,32.75,114.0,13,40
North-East,Female,Prepaid,Light,Low,Quarterly,53.48,1013.57,431.76,30.75,121.0,4,41
North,Female,Prepaid,Light,Medium,Yearly,16.01,881.03,515.4,27.75,51.0,47,26
West,Female,Prepaid,Light,Medium,Monthly,27.13,789.74,563.9,29.35,108.0,64,50
North,Male,Postpaid,Moderate,Medium,Quarterly,42.01,672.33,629.17,36.26,131.0,33,49
South,Female,Postpaid,Heavy,Medium,Monthly,75.63,1134.54,418.17,42.49,115.0,40,36
East,Female,Postpaid,Heavy,High,Quarterly,40.88,708.58,315.81,26.73,75.0,61,39
